_id,index,transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
68d384423540c75c99fb6b4b,278,454,12-03-2022,07:20:00,13,Female,46.0,Beauty,1.0,25.0,13.0,25.0
68d384423540c75c99fb6ad3,158,142,08-04-2022,10:05:00,61,Male,35.0,Electronics,4.0,300.0,138.0,1200.0
68d384423540c75c99fb6bd8,419,1459,10-11-2023,06:46:00,13,Male,28.0,Clothing,4.0,300.0,144.0,1200.0
68d384423540c75c99fb6aa9,116,288,02-05-2022,09:59:00,27,Male,28.0,Clothing,4.0,30.0,12.0,120.0
68d384423540c75c99fb6d98,867,1537,29-11-2022,17:57:00,116,Female,21.0,Beauty,1.0,500.0,140.0,500.0
68d384423540c75c99fb6f25,1264,73,14-01-2022,21:47:00,42,Male,29.0,Electronics,3.0,30.0,9.0,90.0
68d384423540c75c99fb6fd9,1444,1809,16-10-2023,18:09:00,51,Female,62.0,Beauty,2.0,50.0,61.5,100.0
68d384423540c75c99fb6f44,1295,1092,03-05-2022,20:15:00,58,Female,51.0,Electronics,4.0,30.0,31.5,120.0
68d384423540c75c99fb6df8,963,830,29-09-2022,20:19:00,77,Female,64.0,Clothing,3.0,50.0,18.5,150.0
68d384423540c75c99fb7130,1787,1493,26-11-2023,21:49:00,58,Male,41.0,Beauty,2.0,25.0,6.75,50.0
68d384423540c75c99fb6ab0,123,1720,10-10-2022,08:51:00,28,Female,56.0,Beauty,3.0,500.0,190.0,1500.0
68d384423540c75c99fb6dca,917,1352,19-10-2023,17:40:00,14,Male,57.0,Electronics,2.0,500.0,260.0,1000.0
68d384423540c75c99fb6e4f,1050,53,06-01-2022,17:57:00,32,Male,34.0,Electronics,2.0,50.0,22.0,100.0
68d384423540c75c99fb6c63,558,836,21-06-2023,06:32:00,2,Female,22.0,Clothing,1.0,50.0,27.5,50.0
68d384423540c75c99fb6a4e,25,1367,15-04-2022,11:38:00,16,Female,,Electronics,1.0,50.0,15.5,50.0
68d384423540c75c99fb6d2f,762,81,07-06-2023,22:48:00,4,Male,40.0,Electronics,1.0,50.0,14.5,50.0
68d384423540c75c99fb6afa,197,372,19-06-2022,11:45:00,27,Female,24.0,Beauty,3.0,500.0,140.0,1500.0
68d384423540c75c99fb6fe8,1459,1327,23-12-2023,21:16:00,118,Male,57.0,Electronics,3.0,50.0,58.0,150.0
68d384423540c75c99fb71ce,1945,1662,20-12-2023,12:38:00,106,Male,48.0,Beauty,2.0,500.0,240.0,1000.0
68d384423540c75c99fb6f45,1296,1282,20-02-2023,20:05:00,23,Female,64.0,Electronics,4.0,50.0,48.5,200.0
68d384423540c75c99fb6d2b,758,1411,24-11-2023,20:27:00,1,Male,62.0,Electronics,4.0,50.0,26.0,200.0
68d384423540c75c99fb6c02,461,1575,28-07-2023,11:54:00,26,Male,60.0,Clothing,2.0,50.0,22.5,100.0
68d384423540c75c99fb6de2,941,1488,12-11-2022,19:24:00,9,Female,51.0,Electronics,3.0,300.0,126.0,900.0
68d384423540c75c99fb6e93,1118,543,16-04-2022,20:30:00,121,Male,49.0,Beauty,2.0,300.0,75.0,600.0
68d384423540c75c99fb6c89,596,1230,04-12-2023,21:24:00,1,Male,54.0,Beauty,1.0,25.0,13.25,25.0
68d384423540c75c99fb70e0,1707,827,28-10-2023,19:24:00,96,Male,61.0,Beauty,3.0,300.0,165.0,900.0
68d384423540c75c99fb6e00,971,1271,19-01-2022,19:31:00,27,Female,62.0,Beauty,4.0,30.0,9.0,120.0
68d384423540c75c99fb6fdc,1447,1897,27-10-2023,17:12:00,137,Female,64.0,Electronics,2.0,50.0,62.0,100.0
68d384423540c75c99fb6e79,1092,709,22-09-2022,22:32:00,61,Female,19.0,Electronics,2.0,500.0,140.0,1000.0
68d384423540c75c99fb6ba8,371,623,15-11-2023,10:00:00,39,Male,34.0,Clothing,3.0,50.0,26.0,150.0
68d384423540c75c99fb6a99,100,1445,19-04-2022,06:16:00,31,Female,53.0,Electronics,1.0,300.0,129.0,300.0
68d384423540c75c99fb6b7e,329,1947,05-03-2022,06:27:00,134,Male,50.0,Beauty,1.0,300.0,75.0,300.0
68d384423540c75c99fb6b37,258,256,09-01-2022,08:05:00,3,Male,23.0,Clothing,2.0,500.0,270.0,1000.0
68d384423540c75c99fb6d04,719,1930,21-12-2023,19:58:00,5,Male,54.0,Clothing,4.0,50.0,13.0,200.0
68d384423540c75c99fb6bd3,414,402,12-07-2023,08:45:00,63,Female,41.0,Clothing,2.0,300.0,135.0,600.0
68d384423540c75c99fb6c0f,474,166,28-01-2023,11:42:00,32,Male,34.0,Clothing,4.0,500.0,225.0,2000.0
68d384423540c75c99fb6e80,1099,1773,12-12-2023,18:50:00,80,Male,25.0,Electronics,4.0,500.0,165.0,2000.0
68d384423540c75c99fb712b,1782,1095,05-09-2022,17:56:00,56,Female,32.0,Clothing,2.0,30.0,9.9,60.0
68d384423540c75c99fb7199,1892,1336,23-09-2022,13:27:00,74,Female,52.0,Beauty,3.0,50.0,21.5,150.0
68d384423540c75c99fb6f83,1358,194,11-10-2023,19:27:00,116,Male,55.0,Clothing,4.0,50.0,51.5,200.0
68d384423540c75c99fb701e,1513,689,16-10-2022,20:17:00,55,Male,57.0,Electronics,2.0,50.0,52.5,100.0
68d384423540c75c99fb6f52,1309,1671,28-02-2023,20:55:00,47,Male,62.0,Electronics,3.0,50.0,62.5,150.0
68d384423540c75c99fb6e7d,1096,1114,18-08-2022,22:19:00,100,Female,22.0,Beauty,4.0,25.0,12.0,100.0
68d384423540c75c99fb6a73,62,713,16-04-2022,11:43:00,39,Male,34.0,Beauty,3.0,25.0,11.25,75.0
68d384423540c75c99fb6b4a,277,41,11-10-2022,10:36:00,88,Male,34.0,Clothing,2.0,25.0,13.25,50.0
68d384423540c75c99fb6d6a,821,1404,20-08-2023,18:15:00,155,Male,46.0,Electronics,2.0,500.0,185.0,1000.0
68d384423540c75c99fb7192,1885,1526,25-09-2022,15:06:00,84,Male,33.0,Clothing,2.0,50.0,26.5,100.0
68d384423540c75c99fb6a57,34,1797,16-04-2022,11:47:00,147,Male,40.0,Clothing,3.0,25.0,12.25,75.0
68d384423540c75c99fb6b12,221,346,05-09-2022,06:54:00,38,Male,59.0,Clothing,2.0,500.0,215.0,1000.0
