_id,index,transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
68d384423540c75c99fb713b,1798,84,10-11-2023,17:17:00,89,Female,38.0,Electronics,3.0,30.0,10.2,90.0
68d384423540c75c99fb6cb1,636,995,04-03-2023,22:38:00,4,Female,41.0,Clothing,1.0,30.0,9.9,30.0
68d384423540c75c99fb6d7d,840,915,11-10-2023,19:06:00,95,Female,26.0,Beauty,3.0,30.0,12.9,90.0
68d384423540c75c99fb6d90,859,1170,06-01-2023,17:13:00,96,Female,25.0,Clothing,2.0,25.0,8.0,50.0
68d384423540c75c99fb6d63,814,1729,22-11-2023,18:55:00,82,Male,29.0,Clothing,4.0,300.0,81.0,1200.0
68d384423540c75c99fb6e39,1028,528,11-12-2023,21:51:00,102,Female,36.0,Clothing,2.0,30.0,9.6,60.0
68d384423540c75c99fb6db6,897,765,16-10-2022,19:03:00,77,Male,43.0,Clothing,4.0,50.0,12.5,200.0
68d384423540c75c99fb6bfa,453,1202,13-11-2023,06:56:00,89,Female,34.0,Clothing,4.0,300.0,144.0,1200.0
68d384423540c75c99fb6ecc,1175,279,10-08-2023,17:29:00,38,Male,50.0,Clothing,1.0,500.0,210.0,500.0
68d384423540c75c99fb6dcd,920,629,05-01-2023,19:55:00,39,Male,62.0,Electronics,2.0,25.0,8.0,50.0
68d384423540c75c99fb7195,1888,1265,05-11-2022,14:35:00,86,Male,55.0,Clothing,3.0,300.0,111.0,900.0
68d384423540c75c99fb6cbe,649,1242,27-11-2023,18:32:00,5,Male,21.0,Clothing,1.0,25.0,11.25,25.0
68d384423540c75c99fb6aed,184,1490,26-10-2022,07:15:00,155,Male,34.0,Clothing,3.0,50.0,17.0,150.0
68d384423540c75c99fb6de2,941,1488,12-11-2022,19:24:00,9,Female,51.0,Electronics,3.0,300.0,126.0,900.0
68d384423540c75c99fb6ec6,1169,1798,18-07-2023,20:26:00,96,Male,61.0,Clothing,1.0,50.0,20.0,50.0
68d384423540c75c99fb6d99,868,387,26-01-2023,21:58:00,118,Male,44.0,Beauty,1.0,30.0,9.0,30.0
68d384423540c75c99fb7177,1858,392,21-12-2022,13:11:00,77,Male,27.0,Clothing,2.0,300.0,78.0,600.0
